year,category,location,commute
2012,National,Kentucky,22.9
2012,National,Louisiana,25.2
2012,National,Maine,23.5
2012,National,Maryland,31.9
2012,National,Massachusetts,28.3
2012,National,Michigan,24
2012,National,Minnesota,22.9
2012,National,Mississippi,24
2012,National,Missouri,23.1
2012,National,Montana,18.4
2012,National,Nebraska,18.2
2012,National,Nevada,24
2012,National,New Hampshire,26.3
2012,National,New Jersey,30.7
2012,National,New Mexico,21.4
2012,National,New York,31.8
2012,National,North Carolina,23.7
2012,National,North Dakota,17.4
2012,National,Ohio,23.2
2012,National,Oklahoma,21.1
2012,National,Oregon,22.7
2012,National,Pennsylvania,26.1
2012,National,Puerto Rico,30
2012,National,Rhode Island,24.4
2012,National,South Carolina,23.5
2012,National,South Dakota,16.7
2012,National,Tennessee,24.4
2012,National,Texas,25.3
2012,National,United States,25.7
2012,National,Utah,22
2012,National,Vermont,23.1
2012,National,Virginia,27.9
2012,National,Washington,26
2012,National,West Virginia,25.2
2012,National,Wisconsin,21.8
2012,National,Wyoming,18.1
2012,National,Columbia,17.9
2013,National,Alabama,24.2
2013,National,Alaska,19.2
2013,National,Arizona,24.8
2013,National,Arkansas,21.4
2013,National,California,27.9
2013,National,Colorado,24.6
2013,National,Connecticut,25.5
2013,National,Delaware,25.4
2013,National,District of Columbia,29.9
2013,National,Florida,26.1
2013,National,Georgia,27
2013,National,Hawaii,26.8
2013,National,Idaho,20.1
2013,National,Illinois,28
2013,National,Indiana,23.2
2013,National,Iowa,18.9
2013,National,Kansas,19.1
2013,National,Kentucky,22.6
2013,National,Louisiana,25.2
2013,National,Maine,23.3
2013,National,Maryland,32.5
2013,National,Massachusetts,28.6
2013,National,Michigan,24
2013,National,Minnesota,23
2013,National,Mississippi,23.6
2013,National,Missouri,23.2
2013,National,Montana,18
2013,National,Nebraska,18.1
2013,National,Nevada,23.7
2013,National,New Hampshire,26.8
2013,National,New Jersey,30.9
2013,National,New Mexico,21.5
2013,National,New York,32.1
2013,National,North Carolina,23.9
2013,National,North Dakota,17.9
2013,National,Ohio,23.2
2013,National,Oklahoma,21.3
2013,National,Oregon,22.8
2013,National,Pennsylvania,26
2013,National,Puerto Rico,30.2
2013,National,Rhode Island,24
2013,National,South Carolina,23.7
2013,National,South Dakota,17
2013,National,Tennessee,24.5
2013,National,Texas,25.5
2013,National,United States,25.8
2013,National,Utah,21.2
2013,National,Vermont,22.5
2013,National,Virginia,27.7
2013,National,Washington,26
2013,National,West Virginia,25.8
2013,National,Wisconsin,22.1
2013,National,Wyoming,17.5
2013,National,Columbia,16.6
